UserID,Scheme,NumLogins,NumSuccessful,NumFailed,SuccessTime,FailedTime
ipt101,Image21,36,20,16,10,21
ipt104,Image21,18,18,0,19,0
ipt105,Image21,49,36,13,8,11
ipt106,Image21,26,19,7,9,6
ipt109,Image21,22,21,1,20,21
ipt110,Image21,24,24,0,13,0
ipt113,Image21,35,23,12,8,8
ipt119,Image21,21,19,2,13,8
ipt131,Image21,19,15,4,32,33
ipt133,Image21,18,17,1,16,6
ipt134,Image21,24,18,6,17,19
ipt136,Image21,28,24,4,12,13
ipt137,Image21,28,19,9,17,15
ipt143,Image21,25,22,3,10,16
ipt145,Image21,19,18,1,22,14
ast103,text21,17,16,1,12,17
ast104,text21,26,16,10,12,14
ast105,text21,15,12,3,7,8
ast107,text21,21,15,6,5,6
ast108,text21,19,19,0,4,0
ast111,text21,19,11,8,7,9
ast112,text21,15,15,0,8,0
ast114,text21,22,15,7,11,10
ast115,text21,15,15,0,10,0
ast116,text21,15,15,0,5,0
ast118,text21,16,15,1,7,9
ast125,text21,18,15,3,6,6
ast131,text21,21,15,6,11,22
ast133,text21,9,9,0,12,0
ast134,text21,15,15,0,7,0
ast135,text21,4,3,1,6,4
ast136,text21,15,15,0,9,0
ast138,text21,16,16,0,16,0
